dataset,model,condition,metric,repetitions,mean,sd,empirical_low,empirical_high,mean_denominator_n
MMLU,Qwen/Qwen2.5-3B-Instruct,exp3,harmful_conformity,30,0.033074105747908686,0.006733804179317329,0.01896186231784031,0.046744990038673384,322.23333333333335
MMLU,Qwen/Qwen2.5-3B-Instruct,exp3,target_adoption,30,0.15793333333333334,0.013114701761719577,0.1338,0.182,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp4,accuracy,30,0.48386666666666667,0.015067053194106103,0.4529,0.5111,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp4,beneficial_revision,30,0.008099116296199619,0.004134777508394966,0.0,0.011944205393000572,177.76666666666668
MMLU,Qwen/Qwen2.5-3B-Instruct,exp4,change_rate,30,0.2736,0.012891055439521907,0.2514,0.2991,500
MMLU,Qwen/Qwen2.5-3B-Instruct,exp4,conformity_rate,30,0.28396808267760304,0.014159295456936213,0.25875000000000004,0.30922125052055444,437.96666666666664
MMLU,Qwen/Qwen2.5-3B-Instruct,exp4,harmful_conformity,30,0.22855868362639417,0.016789674420347258,0.19931000793796178,0.2571032307190253,322.23333333333335
MMLU,Qwen/Qwen2.5-3B-Instruct,exp4,target_adoption,30,0.3677333333333333,0.01520193575090728,0.34545,0.40275,500
MMLU,google/gemma-2-2b-it,exp1,accuracy,30,0.5845449565798263,0.014749297712620247,0.5588107214428858,0.6050746492985972,499.53333333333336
MMLU,google/gemma-2-2b-it,exp1,beneficial_revision,30,0.007720509053052558,0.004064986956884997,0.003325688073394496,0.015096314907872697,203.8
MMLU,google/gemma-2-2b-it,exp1,change_rate,30,0.015479625918503674,0.003854732221322831,0.010014529058116232,0.022012124248496995,499.53333333333336
MMLU,google/gemma-2-2b-it,exp1,conformity_rate,30,0.01279182131944247,0.004028851889796389,0.006829441913439635,0.018859218662024575,439.5
MMLU,google/gemma-2-2b-it,exp1,harmful_conformity,30,0.016072772081332336,0.005636420484286897,0.006921052631578948,0.026550640017965414,295.73333333333335
MMLU,google/gemma-2-2b-it,exp1,target_adoption,30,0.1314559786239145,0.009595445312580702,0.11742434869739478,0.15332084168336674,499.53333333333336
MMLU,google/gemma-2-2b-it,exp2,accuracy,30,0.5795394789579158,0.014929043766739184,0.5502490981963928,0.6005188376753507,499.53333333333336
