cell,model,dataset,stratum,stratum_n,target_probability_min,target_probability_max,condition,cr_n,cr,hcr_n,hcr
phi_mmlu,Phi-3.5-mini,MMLU,Medium,159,3.219343091753941e-08,0.0013867561363028102,exp4,158,0.34177215189873417,113,0.37168141592920356
phi_mmlu,Phi-3.5-mini,MMLU,High,159,0.0014742218873376905,0.9999999817778219,exp1,103,0.42718446601941745,58,0.43103448275862066
phi_mmlu,Phi-3.5-mini,MMLU,High,159,0.0014742218873376905,0.9999999817778219,exp2,103,0.7669902912621359,58,0.8103448275862069
phi_mmlu,Phi-3.5-mini,MMLU,High,159,0.0014742218873376905,0.9999999817778219,exp3,103,0.32038834951456313,58,0.3275862068965517
phi_mmlu,Phi-3.5-mini,MMLU,High,159,0.0014742218873376905,0.9999999817778219,exp4,103,0.4077669902912621,58,0.39655172413793105
gemma_csqa,Gemma-2-2B,CommonsenseQA,Low,167,4.591876472515681e-07,4.004630598969411e-05,exp1,167,0.005988023952095809,144,0.0
gemma_csqa,Gemma-2-2B,CommonsenseQA,Low,167,4.591876472515681e-07,4.004630598969411e-05,exp2,167,0.0,144,0.0
gemma_csqa,Gemma-2-2B,CommonsenseQA,Low,167,4.591876472515681e-07,4.004630598969411e-05,exp3,167,0.023952095808383235,144,0.020833333333333332
gemma_csqa,Gemma-2-2B,CommonsenseQA,Low,167,4.591876472515681e-07,4.004630598969411e-05,exp4,167,0.005988023952095809,144,0.0
gemma_csqa,Gemma-2-2B,CommonsenseQA,Medium,166,4.006172348507738e-05,0.0006653795076871575,exp1,166,0.018072289156626505,124,0.024193548387096774
gemma_csqa,Gemma-2-2B,CommonsenseQA,Medium,166,4.006172348507738e-05,0.0006653795076871575,exp2,166,0.04216867469879518,124,0.056451612903225805
gemma_csqa,Gemma-2-2B,CommonsenseQA,Medium,166,4.006172348507738e-05,0.0006653795076871575,exp3,166,0.04819277108433735,124,0.06451612903225806
gemma_csqa,Gemma-2-2B,CommonsenseQA,Medium,166,4.006172348507738e-05,0.0006653795076871575,exp4,166,0.060240963855421686,124,0.056451612903225805
gemma_csqa,Gemma-2-2B,CommonsenseQA,High,167,0.0006656087492815961,0.9999223144767142,exp1,135,0.05185185185185185,76,0.02631578947368421
gemma_csqa,Gemma-2-2B,CommonsenseQA,High,167,0.0006656087492815961,0.9999223144767142,exp2,135,0.1037037037037037,76,0.06578947368421052
gemma_csqa,Gemma-2-2B,CommonsenseQA,High,167,0.0006656087492815961,0.9999223144767142,exp3,135,0.2962962962962963,76,0.2894736842105263
gemma_csqa,Gemma-2-2B,CommonsenseQA,High,167,0.0006656087492815961,0.9999223144767142,exp4,135,0.1111111111111111,76,0.10526315789473684
gemma_mmlu,Gemma-2-2B,MMLU,Low,167,8.578929911767448e-07,0.0005151284367061679,exp1,167,0.011976047904191617,141,0.014184397163120567
gemma_mmlu,Gemma-2-2B,MMLU,Low,167,8.578929911767448e-07,0.0005151284367061679,exp2,167,0.011976047904191617,141,0.0070921985815602835
gemma_mmlu,Gemma-2-2B,MMLU,Low,167,8.578929911767448e-07,0.0005151284367061679,exp3,167,0.09580838323353294,141,0.0851063829787234
gemma_mmlu,Gemma-2-2B,MMLU,Low,167,8.578929911767448e-07,0.0005151284367061679,exp4,167,0.029940119760479042,141,0.03546099290780142
gemma_mmlu,Gemma-2-2B,MMLU,Medium,166,0.0005183584051613826,0.020487976452663335,exp1,166,0.018072289156626505,98,0.030612244897959183
gemma_mmlu,Gemma-2-2B,MMLU,Medium,166,0.0005183584051613826,0.020487976452663335,exp2,166,0.03614457831325301,98,0.04081632653061224
gemma_mmlu,Gemma-2-2B,MMLU,Medium,166,0.0005183584051613826,0.020487976452663335,exp3,166,0.1144578313253012,98,0.1326530612244898
gemma_mmlu,Gemma-2-2B,MMLU,Medium,166,0.0005183584051613826,0.020487976452663335,exp4,166,0.05421686746987952,98,0.07142857142857142
gemma_mmlu,Gemma-2-2B,MMLU,High,166,0.02111655124692605,0.9997833375661443,exp1,95,0.021052631578947368,39,0.0
gemma_mmlu,Gemma-2-2B,MMLU,High,166,0.02111655124692605,0.9997833375661443,exp2,95,0.042105263157894736,39,0.02564102564102564
gemma_mmlu,Gemma-2-2B,MMLU,High,166,0.02111655124692605,0.9997833375661443,exp3,95,0.17894736842105263,39,0.23076923076923078
gemma_mmlu,Gemma-2-2B,MMLU,High,166,0.02111655124692605,0.9997833375661443,exp4,95,0.042105263157894736,39,0.07692307692307693
